run,gal_5,gas_5,new_5,old_5,gal_1,gas_10,new_10,old_10,gal_20,gas_20,new_20,old_20,old_vx,old_vy,old_vz,new_vx,new_vy,new_vz
16,4397.9,4397.9,4397.9,367697.2,4752.700000000000,4752.700000000000,4752.700000000000,677689.85,4752.700000000000,4752.700000000000,4752.700000000000,848261.5,-2.6220098139508100,2.5647434268331300,-1.1173980801962200,-4.494913980097740,4.20059237490603,2.659321290439660
39,35267.35000000000,720.0,7344.050000000000,353655.15,57150.55000000000,3060.0,8935.950000000000,680678.0,60595.250000000000,20160.0,8939.600000000000,857149.6,-1.1982455688777700,-1.2057256838337500,-0.10810370857480300,-4.3990089047585600,4.02846755979297,1.2433307684376100
40,31961.75,2880.0,97234.75,564578.0,97115.5,15480.0,149745.75,1865992.5,114380.701,71460.0,149842.0,3124935.0,-1.9932904917733000,-2.0063234725518500,-0.13959141108500200,-6.224118362827950,6.977655874435230,-2.987231725069050
40.3,23809.0,1200.0,55450.5,531917.5,84707.25,12720.0,121683.75,1780103.25,136073.0,60840.0,129142.5,3043673.25,-4.9996928589128,5.014995126151250,0.12050464848542500,-9.794642190163820,9.432480471900820,0.9362837200648670
40.4,29789.833920000000,720.0,1080.2930900000000,362500.8,65533.827470000000,5760.0,2383.32023,672358.75,75138.32110000000,27720.0,5693.920230000000,844602.1,-1.387621234840140,-1.4012524052944600,-2.387625904432700,-1.617370202511030,2.9030222192320800,-2.9583247187711000
47,30088.95000000000,180.0,2989.000000000000,354416.15,59834.20000000000,3240.0,3206.8000000000000,668494.4,64485.25000000000,18360.0,3206.8000000000000,842826.75,-3.139388342087260,3.09362527924437,0.08013901202734230,-3.7011997997953500,3.731643989060250,-1.5063064467923500
48,28263.60000000000,0.0,3179.200000000000,355962.1,59689.15000000000,2700.0,3914.1500000000000,671760.7,64119.80000000000,21780.0,3914.1500000000000,844438.7,-3.127365089976520,3.132791196634530,0.05925470782306500,-4.265742966355590,4.181233394391330,-0.9165992685721280
57,33038.100000000000,720.0,39052.65000000000,515750.55,81531.90000000000,9720.0,63493.05,1385714.25,115997.4,34200.0,63517.65000000000,2066089.95,-4.299474695571830,4.429723819601470,-0.08306290011087840,-7.07393340793173,6.987634575667400,0.8139346869084840
